America	アメリカ
Australia	オーストラリア
Brazil	ブラジル
Canada	カナダ
China	中国
Egypt	エジプト
English	英語
France	フランス
India	インド
Italy	イタリア
Japanese	国語
Russia	ロシア
Spain	スペイン
UK	イギリス
active	活動的な
angry	怒った
aquarium	水族館
artist	芸術家
arts	芸術
astronaut	うちゅう飛行士
aunt	おば
baker	パン職人
ball	ボール
balloon	風船
baseball	野球
basketball	バスケットボール
bat	バット
bathroom	風呂
bear	クマ
beautiful	美しい
bed	ベッド
bedroom	しん室
beefsteak	ビーフステーキ
big	大きい
bird	トリ
black	黒
blue	青
bookstore	書店
bowl	ボウル
brave	勇かんな
broccoli	ブロッコリー
brother	兄、弟
brown	茶色
bus driver	バス運転士
busy	いそがしい
cabbage	キャベツ
cake	ケーキ
calendar	カレンダー
calligraphy	書写
calligraphy	書道
cards	トランプ
carrot	ニンジン
castle	城
cat	ネコ
catch	つかまえる
cheese	チーズ
chef	料理人
chicken	鶏
chopsticks	はし
classmate	クラスメート
clock	時計
club	クラブ
coat	コート
comedian	コメディアン
computer	コンピュータ
cook	料理する
cool	かっこいい
cousin	いとこ
crab	カニ
cream	クリーム
cucumber	キュウリ
cup	カップ
curry	カレー
dance	おどる
dancer	ダンサー
delicious	おいしい
dentist	歯科医
desk	つくえ
doctor	医者
dodgeball	ドッジボール
dog	イヌ
doll	人形
dolphin	イルカ
donut	ドーナツ
door	ドア
draw	絵をかく
dress	ドレス
eggplant	ナス
elephant	ゾウ
eraser	消しゴム
exciting	わくわくさせる
famous	有名な
fantastic	すばらしい
farmer	農家
father	父
feed	えさをやる
fine	元気な
finish	終える
fire fighter	消防士
fish	魚
florist	花屋の店員
flower	花
fork	フォーク
fox	キツネ
friend	友達
friendly	親しみやすい
frog	カエル
full	いっぱいの
fun	楽しいこと
funny	おもしろい
garden	庭
gentle	やさしい
giraffe	キリン
glass	グラス
glasses	めがね
globe	地球儀
glove	グローブ
glue	のり
good	元気な
grandfather	祖父
grandmother	祖母
grandparents	祖父母
gray	灰色
great	すばらしい
great	とても元気な
green	緑
green pepper	ピーマン
hamburger	ハンバーガー
hamster	ハムスター
happy	幸せな
hospital	病院
hotel	ホテル
house	家
hungry	おなかがすいた
ice	氷
interesting	興味深い
jellyfish	クラゲ
judo	柔道
juice	ジュース
jump	ジャンプする
karate	空手
kind	親切な
kitchen	台所
knife	ナイフ
koala	コアラ
lettuce	レタス
library	図書館
lion	ライオン
make	作る
map	地図
math	算数
milk	牛乳
monkey	サル
morality	道徳
mother	母
mouse	ネズミ
movie	動画
museum	博物館
music	音楽
new	新しい
newspaper	新聞
nice	すてきな
nurse	看護師
octopus	タコ
old	古い
omelet	オムレツ
onion	タマネギ
orange	オレンジ
painting	絵画
panda	パンダ
pants	ズボン
parfait	パフェ
park	公園
pen	ペン
penguin	ペンギン
pianist	ピアニスト
piano	ピアノ
pig	ブタ
pilot	パイロット
pink	ピンク
pizza	ピザ
plate	皿
player	選手
police	警察官
popular	人気のある
potato	ジャガイモ
practice	練習する
pudding	プリン
pumpkin	カボチャ
purple	むらさき
rabbit	ウサギ
racket	ラケット
recorder	リコーダー
red	赤
restaurant	レストラン
rice	ごはん
ride	乗る
rugby	ラグビー
ruler	定規
sad	悲しい
salad	サラダ
sandwich	サンドイッチ
school	学校
science	理科
scientist	科学者
seal	アシカ
set	用意する
shirt	 シャツ
shoes	くつ
shogi	将棋
shorts	半ズボン
shrimp	エビ
shrine	神社
sick	病気の
sing	歌う
singer	歌手
sister	姉、妹
skate	スケートをする
ski	スキーをする
skirt	スカート
sleepy	ねむい
small	小さい
snake	ヘビ
soccer	サッカー
soda	ソーダ
sofa	ソファー
soup	スープ
spaghetti	スパゲッティ
speak	話す
spoon	スプーン
starfish	ヒトデ
station	駅
strong	強い
sweater	セーター
sweet potato	サツマイモ
swim	泳ぐ
swimming	水泳
table	テーブル
tea	お茶
teacher	先生
temple	寺
tennis	テニス
theater	劇場
thirsty	のどがかわいた
tired	つかれた
tomato	トマト
tough	丈夫な
turtle	カメ
uncle	おじ
vest	ベスト
vet	じゅう医
volleyball	バレーボール
wallet	さいふ
wash	洗う
watch	うで時計
water	水泳
whale	クジラ
white	白
window	窓
wonderful	すばらしい
yellow	黄色
yo-yo	ヨーヨー
yummy	とてもおいしい
zoo	動物園
zookeeper	動物園の飼育係
